Input Lat,-30.8
Input Lon,152.98
Input Elev,33
Grid Lat,-30.81
Grid Lon,153.007
Grid Elev,0.0
Local Date,Local Time,Temp (C),RH (%),Wind Dir,Wind Speed (km/h),Drought Factor,FFDI,GFDI
22 Aug 2020,05:00,12.4,55.3,280.5,12.0,7.6,3.0,0.0
22 Aug 2020,06:00,12.2,57.3,282.6,12.0,7.6,3.0,0.0
22 Aug 2020,07:00,12.4,57.3,281.9,16.0,7.6,3.0,0.0
22 Aug 2020,08:00,13.9,52.0,285.0,19.0,7.6,4.0,0.0
22 Aug 2020,09:00,15.9,44.8,286.3,23.0,7.6,6.0,0.0
22 Aug 2020,10:00,17.6,38.2,292.2,24.0,7.6,8.0,0.0
22 Aug 2020,11:00,18.8,33.0,281.5,31.0,7.7,12.0,0.0
22 Aug 2020,12:00,19.0,30.2,274.7,37.0,7.7,15.0,0.0
22 Aug 2020,13:00,18.7,28.6,268.8,40.0,7.7,17.0,0.0
22 Aug 2020,14:00,18.5,28.3,262.9,40.0,7.7,17.0,0.0
22 Aug 2020,15:00,17.9,29.0,265.5,39.0,7.7,16.0,0.0
22 Aug 2020,16:00,17.1,30.3,262.3,38.0,7.7,15.0,0.0
22 Aug 2020,17:00,16.0,32.7,268.5,34.0,7.7,12.0,0.0
22 Aug 2020,18:00,14.0,38.3,264.8,32.0,7.7,9.0,0.0
22 Aug 2020,19:00,13.3,39.5,265.0,29.0,7.7,7.0,0.0
22 Aug 2020,20:00,12.9,41.4,263.9,27.0,7.7,7.0,0.0
22 Aug 2020,21:00,12.5,43.8,258.0,29.0,7.7,6.0,0.0
22 Aug 2020,22:00,12.1,45.2,257.5,33.0,7.7,6.0,0.0
22 Aug 2020,23:00,11.7,45.8,259.9,38.0,7.7,7.0,0.0
23 Aug 2020,00:00,11.5,45.1,264.9,44.0,7.7,7.0,0.0
23 Aug 2020,01:00,11.2,44.3,270.1,43.0,7.7,8.0,0.0
23 Aug 2020,02:00,11.2,45.0,271.0,41.0,7.7,8.0,0.0
23 Aug 2020,03:00,11.1,45.9,271.9,37.0,7.7,7.0,0.0
23 Aug 2020,04:00,10.9,46.9,262.2,33.0,7.7,6.0,0.0
23 Aug 2020,05:00,10.8,47.6,254.6,34.0,7.7,5.0,0.0
23 Aug 2020,06:00,10.7,48.2,253.8,36.0,7.7,6.0,0.0
23 Aug 2020,07:00,10.8,47.9,258.2,42.0,7.7,7.0,0.0
23 Aug 2020,08:00,12.6,44.1,261.6,47.0,7.7,10.0,0.0
23 Aug 2020,09:00,14.6,39.6,249.1,44.0,7.7,11.0,0.0
23 Aug 2020,10:00,16.4,35.8,251.4,42.0,7.7,13.0,0.0
23 Aug 2020,11:00,17.9,30.7,257.0,42.0,7.8,16.0,0.0
23 Aug 2020,12:00,18.7,27.8,257.1,40.0,7.8,18.0,0.0
23 Aug 2020,13:00,19.0,26.3,257.3,39.0,7.8,19.0,0.0
23 Aug 2020,14:00,19.0,25.9,257.5,40.0,7.8,19.0,0.0
23 Aug 2020,15:00,18.6,26.9,256.4,41.0,7.8,19.0,0.0
23 Aug 2020,16:00,18.0,28.2,255.3,41.0,7.8,18.0,0.0
23 Aug 2020,17:00,16.8,31.1,254.5,38.0,7.8,14.0,0.0
23 Aug 2020,18:00,14.8,36.1,250.8,34.0,7.8,10.0,0.0
23 Aug 2020,19:00,14.1,37.2,248.6,32.0,7.8,8.0,0.0
23 Aug 2020,20:00,13.5,39.0,250.8,32.0,7.8,8.0,0.0
23 Aug 2020,21:00,12.9,40.5,257.3,31.0,7.8,7.0,0.0
23 Aug 2020,22:00,12.3,42.4,255.4,29.0,7.8,6.0,0.0
23 Aug 2020,23:00,12.0,43.9,254.1,26.0,7.8,6.0,0.0
24 Aug 2020,00:00,11.7,45.1,254.6,23.0,7.8,5.0,0.0
24 Aug 2020,01:00,11.4,46.4,254.1,22.0,7.8,5.0,0.0
24 Aug 2020,02:00,11.2,46.3,255.4,21.0,7.8,5.0,0.0
24 Aug 2020,03:00,10.8,46.9,257.4,19.0,7.8,4.0,0.0
24 Aug 2020,04:00,10.5,47.1,258.9,18.0,7.8,4.0,0.0
24 Aug 2020,05:00,10.3,48.8,260.0,17.0,7.8,4.0,0.0
24 Aug 2020,06:00,10.0,51.3,261.1,17.0,7.8,3.0,0.0
24 Aug 2020,07:00,10.1,52.4,261.0,19.0,7.8,3.0,0.0
24 Aug 2020,08:00,12.1,46.9,260.1,22.0,7.8,5.0,0.0
24 Aug 2020,09:00,14.3,40.9,258.9,24.0,7.8,7.0,0.0
24 Aug 2020,10:00,16.1,35.4,255.7,26.0,7.8,9.0,0.0
24 Aug 2020,11:00,18.0,29.6,250.0,25.0,7.9,12.0,0.0
24 Aug 2020,12:00,19.0,26.5,242.3,24.0,7.9,13.0,0.0
24 Aug 2020,13:00,19.5,24.7,233.7,22.0,7.9,14.0,0.0
24 Aug 2020,14:00,19.7,24.8,225.0,21.0,7.9,13.0,0.0
24 Aug 2020,15:00,19.6,26.1,218.6,20.0,7.9,12.0,0.0
24 Aug 2020,16:00,19.0,28.5,216.9,19.0,7.9,11.0,0.0
24 Aug 2020,17:00,17.3,33.6,221.4,17.0,7.9,8.0,0.0
24 Aug 2020,18:00,14.6,42.8,229.7,15.0,7.9,5.0,0.0
24 Aug 2020,19:00,13.3,47.3,238.2,13.0,7.9,4.0,0.0
24 Aug 2020,20:00,12.1,51.9,244.1,13.0,7.9,3.0,0.0
24 Aug 2020,21:00,11.0,56.2,247.3,13.0,7.9,3.0,0.0
24 Aug 2020,22:00,10.0,60.5,248.2,12.0,7.9,2.0,0.0
24 Aug 2020,23:00,9.4,62.1,247.2,12.0,7.9,2.0,0.0
25 Aug 2020,00:00,9.0,62.4,245.0,12.0,7.9,2.0,0.0
25 Aug 2020,01:00,12.9,47.5,242.3,12.0,7.9,4.0,0.0
25 Aug 2020,02:00,12.6,47.7,239.7,12.0,7.9,4.0,0.0
25 Aug 2020,03:00,12.2,49.0,237.9,12.0,7.9,4.0,0.0
25 Aug 2020,04:00,11.8,50.0,237.4,12.0,7.9,3.0,0.0
25 Aug 2020,05:00,11.6,50.3,238.7,12.0,7.9,3.0,0.0
25 Aug 2020,06:00,11.4,50.9,239.8,11.0,7.9,3.0,0.0
25 Aug 2020,07:00,11.4,50.9,238.7,11.0,7.9,3.0,0.0
25 Aug 2020,08:00,13.0,45.8,233.9,12.0,7.9,4.0,0.0
25 Aug 2020,09:00,13.5,43.4,226.5,14.0,7.9,5.0,0.0
25 Aug 2020,10:00,15.4,37.6,218.4,16.0,7.9,7.0,0.0
25 Aug 2020,11:00,17.0,33.9,210.9,18.0,8.0,8.0,0.0
25 Aug 2020,12:00,17.7,33.2,203.3,20.0,8.0,9.0,0.0
25 Aug 2020,13:00,18.0,33.5,194.4,21.0,8.0,9.0,0.0
25 Aug 2020,14:00,18.1,34.8,183.9,23.0,8.0,9.0,0.0
25 Aug 2020,15:00,17.9,37.3,174.2,23.0,8.0,9.0,0.0
25 Aug 2020,16:00,17.4,40.1,168.4,23.0,8.0,8.0,0.0
25 Aug 2020,17:00,16.3,43.6,168.9,21.0,8.0,6.0,0.0
25 Aug 2020,18:00,14.6,49.3,174.3,20.0,8.0,5.0,0.0
25 Aug 2020,19:00,13.9,52.7,182.5,18.0,8.0,4.0,0.0
25 Aug 2020,20:00,13.3,54.4,191.6,16.0,8.0,3.0,0.0
25 Aug 2020,21:00,12.7,56.2,200.3,15.0,8.0,3.0,0.0
25 Aug 2020,22:00,12.1,58.1,207.8,14.0,8.0,3.0,0.0
25 Aug 2020,23:00,11.8,59.2,213.5,13.0,8.0,3.0,0.0
26 Aug 2020,00:00,11.5,60.8,217.9,13.0,8.0,2.0,0.0
26 Aug 2020,01:00,11.3,62.1,221.7,12.0,8.0,2.0,0.0
26 Aug 2020,02:00,11.2,62.9,225.4,13.0,8.0,2.0,0.0
26 Aug 2020,03:00,11.0,63.8,228.2,13.0,8.0,2.0,0.0
26 Aug 2020,04:00,10.6,65.0,228.7,13.0,8.0,2.0,0.0
26 Aug 2020,05:00,10.5,63.6,226.3,13.0,8.0,2.0,0.0
26 Aug 2020,06:00,10.3,63.2,222.1,12.0,8.0,2.0,0.0
26 Aug 2020,07:00,10.4,63.2,217.6,12.0,8.0,2.0,0.0
26 Aug 2020,08:00,12.5,56.6,214.2,14.0,8.0,3.0,0.0
26 Aug 2020,09:00,14.9,50.1,210.8,16.0,8.0,4.0,0.0
26 Aug 2020,10:00,17.0,45.1,206.2,19.0,8.0,6.0,0.0
26 Aug 2020,11:00,18.4,41.3,199.7,21.0,8.0,7.0,0.0
26 Aug 2020,12:00,19.1,39.0,192.5,23.0,8.0,9.0,0.0
26 Aug 2020,13:00,19.2,38.4,186.3,25.0,8.0,9.0,0.0
26 Aug 2020,14:00,19.0,40.0,182.7,25.0,8.0,9.0,0.0
26 Aug 2020,15:00,18.5,42.5,181.5,25.0,8.0,8.0,0.0
26 Aug 2020,16:00,17.8,45.6,182.1,24.0,8.0,7.0,0.0
26 Aug 2020,17:00,16.8,48.6,184.0,22.0,8.0,6.0,0.0
26 Aug 2020,18:00,15.0,53.8,187.3,19.0,8.0,4.0,0.0
26 Aug 2020,19:00,14.3,55.8,192.2,16.0,8.0,3.0,0.0
26 Aug 2020,20:00,13.7,58.5,198.5,14.0,8.0,3.0,0.0
26 Aug 2020,21:00,13.1,61.6,205.4,13.0,8.0,3.0,0.0
26 Aug 2020,22:00,12.4,65.4,212.1,12.0,8.0,2.0,0.0
26 Aug 2020,23:00,12.0,67.2,217.7,12.0,8.0,2.0,0.0
27 Aug 2020,00:00,11.7,68.0,222.5,11.0,8.0,2.0,0.0
27 Aug 2020,01:00,11.4,68.5,227.2,10.0,8.0,2.0,0.0
27 Aug 2020,02:00,11.3,68.0,232.2,10.0,8.0,2.0,0.0
27 Aug 2020,03:00,11.0,68.8,237.4,11.0,8.0,2.0,0.0
27 Aug 2020,04:00,10.7,68.8,242.8,11.0,8.0,2.0,0.0
27 Aug 2020,05:00,10.6,68.3,240.1,10.0,8.0,2.0,0.0
27 Aug 2020,06:00,10.5,67.8,234.3,9.0,8.0,2.0,0.0
27 Aug 2020,07:00,10.7,66.4,228.9,8.0,8.0,2.0,0.0
27 Aug 2020,08:00,13.0,58.3,226.0,7.0,8.0,2.0,0.0
27 Aug 2020,09:00,15.6,51.0,222.8,8.0,8.0,4.0,0.0
27 Aug 2020,10:00,17.8,45.6,215.4,9.0,8.0,5.0,0.0
27 Aug 2020,11:00,19.3,42.4,201.0,11.0,8.1,6.0,0.0
27 Aug 2020,12:00,19.9,41.4,181.9,14.0,8.1,7.0,0.0
27 Aug 2020,13:00,20.0,42.0,161.5,16.0,8.1,7.0,0.0
27 Aug 2020,14:00,20.0,43.2,142.5,18.0,8.1,7.0,0.0
27 Aug 2020,15:00,19.6,45.8,124.9,19.0,8.1,6.0,0.0
27 Aug 2020,16:00,18.8,49.8,108.0,19.0,8.1,5.0,0.0
27 Aug 2020,17:00,17.6,54.8,90.8,16.0,8.1,4.0,0.0
27 Aug 2020,18:00,15.7,62.3,72.5,14.0,8.1,3.0,0.0
27 Aug 2020,19:00,15.1,64.3,51.9,11.0,8.1,2.0,0.0
27 Aug 2020,20:00,14.4,66.3,28.8,9.0,8.1,2.0,0.0
27 Aug 2020,21:00,13.9,67.6,6.0,8.0,8.1,2.0,0.0
27 Aug 2020,22:00,13.2,69.8,347.3,7.0,8.1,2.0,0.0
27 Aug 2020,23:00,12.6,73.1,334.9,7.0,8.1,1.0,0.0
28 Aug 2020,00:00,12.2,75.0,326.2,6.0,8.1,1.0,0.0
28 Aug 2020,01:00,11.8,76.5,317.4,6.0,8.1,1.0,0.0
28 Aug 2020,02:00,11.5,76.4,305.9,6.0,8.1,1.0,0.0
